Cid,Year,Ethnicity,Sex,Cause of Death,Count,Percent
19612,2009,HISPANIC,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,96,2
19613,2009,HISPANIC,FEMALE,INFLUENZA AND PNEUMONIA,216,5
19614,2009,HISPANIC,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),21,0
19615,2009,HISPANIC,FEMALE,MALIGNANT NEOPLASMS,1098,25
19616,2009,HISPANIC,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",35,1
19617,2009,HISPANIC,FEMALE,PARKINSONS DISEASE,11,0
19618,2009,HISPANIC,FEMALE,PEPTIC ULCER,9,0
19619,2009,HISPANIC,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",10,0
19620,2009,HISPANIC,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,57,1
19621,2009,HISPANIC,FEMALE,SEPTICEMIA,29,1
19622,2009,HISPANIC,FEMALE,SHORT GESTATION/LBW,12,0
19623,2009,HISPANIC,FEMALE,VIRAL HEPATITIS,48,1
19624,2009,HISPANIC,MALE,ACCIDENTS EXCEPT DRUG POISONING,170,3
19625,2009,HISPANIC,MALE,ALZHEIMERS DISEASE,25,1
19626,2009,HISPANIC,MALE,AORTIC ANEURYSM AND DISSECTION,12,0
19627,2009,HISPANIC,MALE,ASSAULT (HOMICIDE),106,2
19628,2009,HISPANIC,MALE,ATHEROSCLEROSIS,10,0
19629,2009,HISPANIC,MALE,BENIGN AND UNCERTAIN NEOPLASMS,14,0
19630,2009,HISPANIC,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,15,0
19631,2009,HISPANIC,MALE,CEREBROVASCULAR DISEASE,143,3
19632,2009,HISPANIC,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,119,2
19633,2009,HISPANIC,MALE,CHRONIC LOWER RESPIRATORY DISEASES,111,2
19634,2009,HISPANIC,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",28,1
19635,2009,HISPANIC,MALE,DIABETES MELLITUS,172,4
19636,2009,HISPANIC,MALE,DISEASES OF HEART,1382,28
19637,2009,HISPANIC,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,77,2
19638,2009,HISPANIC,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,196,4
19639,2009,HISPANIC,MALE,INFLUENZA AND PNEUMONIA,183,4
19640,2009,HISPANIC,MALE,INTENTIONAL SELF-HARM (SUICIDE),72,1
19641,2009,HISPANIC,MALE,MALIGNANT NEOPLASMS,1180,24
19642,2009,HISPANIC,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,41,1
19643,2009,HISPANIC,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",29,1
19644,2009,HISPANIC,MALE,PARKINSONS DISEASE,16,0
19645,2009,HISPANIC,MALE,PEPTIC ULCER,10,0
19646,2009,HISPANIC,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,145,3
19647,2009,HISPANIC,MALE,SEPTICEMIA,22,0
19648,2009,HISPANIC,MALE,SHORT GESTATION/LBW,24,0
19649,2009,HISPANIC,MALE,VIRAL HEPATITIS,94,2
19650,2009,NON-HISPANIC BLACK,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,71,1
19651,2009,NON-HISPANIC BLACK,FEMALE,ALZHEIMERS DISEASE,79,1
19652,2009,NON-HISPANIC BLACK,FEMALE,ANEMIAS,16,0
19653,2009,NON-HISPANIC BLACK,FEMALE,AORTIC ANEURYSM AND DISSECTION,19,0
19654,2009,NON-HISPANIC BLACK,FEMALE,ASSAULT (HOMICIDE),29,0
19655,2009,NON-HISPANIC BLACK,FEMALE,ATHEROSCLEROSIS,30,0
19656,2009,NON-HISPANIC BLACK,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,35,0
19657,2009,NON-HISPANIC BLACK,FEMALE,CEREBROVASCULAR DISEASE,245,3
19658,2009,NON-HISPANIC BLACK,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,35,0
19659,2009,NON-HISPANIC BLACK,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,188,3
19660,2009,NON-HISPANIC BLACK,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",34,0
19661,2009,NON-HISPANIC BLACK,FEMALE,DIABETES MELLITUS,384,5
19662,2009,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2535,35
19663,2009,NON-HISPANIC BLACK,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,227,3
19664,2009,NON-HISPANIC BLACK,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,208,3
19665,2009,NON-HISPANIC BLACK,FEMALE,INFLUENZA AND PNEUMONIA,281,4
19666,2009,NON-HISPANIC BLACK,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),17,0
19667,2009,NON-HISPANIC BLACK,FEMALE,MALIGNANT NEOPLASMS,1736,24
19668,2009,NON-HISPANIC BLACK,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,22,0
19669,2009,NON-HISPANIC BLACK,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",75,1
19670,2009,NON-HISPANIC BLACK,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",24,0
19671,2009,NON-HISPANIC BLACK,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,73,1
19672,2009,NON-HISPANIC BLACK,FEMALE,SEPTICEMIA,46,1
19673,2009,NON-HISPANIC BLACK,FEMALE,SHORT GESTATION/LBW,26,0
19674,2009,NON-HISPANIC BLACK,FEMALE,VIRAL HEPATITIS,40,1
19675,2009,NON-HISPANIC BLACK,MALE,ACCIDENTS EXCEPT DRUG POISONING,134,2
19676,2009,NON-HISPANIC BLACK,MALE,ALZHEIMERS DISEASE,30,0
19677,2009,NON-HISPANIC BLACK,MALE,ANEMIAS,18,0
19678,2009,NON-HISPANIC BLACK,MALE,AORTIC ANEURYSM AND DISSECTION,23,0
19679,2009,NON-HISPANIC BLACK,MALE,ASSAULT (HOMICIDE),255,4
19680,2009,NON-HISPANIC BLACK,MALE,ATHEROSCLEROSIS,21,0
19681,2009,NON-HISPANIC BLACK,MALE,BENIGN AND UNCERTAIN NEOPLASMS,24,0
19682,2009,NON-HISPANIC BLACK,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,18,0
19683,2009,NON-HISPANIC BLACK,MALE,CEREBROVASCULAR DISEASE,154,2
19684,2009,NON-HISPANIC BLACK,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,67,1
19685,2009,NON-HISPANIC BLACK,MALE,CHRONIC LOWER RESPIRATORY DISEASES,147,2
19686,2009,NON-HISPANIC BLACK,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",43,1
19687,2009,NON-HISPANIC BLACK,MALE,DIABETES MELLITUS,285,4
19688,2009,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2068,32
19689,2009,NON-HISPANIC BLACK,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,131,2
19690,2009,NON-HISPANIC BLACK,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,329,5
19691,2009,NON-HISPANIC BLACK,MALE,INFLUENZA AND PNEUMONIA,207,3
19692,2009,NON-HISPANIC BLACK,MALE,INTENTIONAL SELF-HARM (SUICIDE),58,1
19693,2009,NON-HISPANIC BLACK,MALE,MALIGNANT NEOPLASMS,1557,24
19694,2009,NON-HISPANIC BLACK,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,49,1
19695,2009,NON-HISPANIC BLACK,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",60,1
19696,2009,NON-HISPANIC BLACK,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,113,2
19697,2009,NON-HISPANIC BLACK,MALE,SEPTICEMIA,33,1
19698,2009,NON-HISPANIC BLACK,MALE,SHORT GESTATION/LBW,31,0
19699,2009,NON-HISPANIC BLACK,MALE,VIRAL HEPATITIS,56,1
19700,2009,NON-HISPANIC WHITE,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,178,1
19701,2009,NON-HISPANIC WHITE,FEMALE,ALZHEIMERS DISEASE,205,2
19702,2009,NON-HISPANIC WHITE,FEMALE,AORTIC ANEURYSM AND DISSECTION,29,0
19703,2009,NON-HISPANIC WHITE,FEMALE,ASSAULT (HOMICIDE),20,0
19704,2009,NON-HISPANIC WHITE,FEMALE,ATHEROSCLEROSIS,73,1
19705,2009,NON-HISPANIC WHITE,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,62,0
19706,2009,NON-HISPANIC WHITE,FEMALE,CEREBROVASCULAR DISEASE,390,3
19707,2009,NON-HISPANIC WHITE,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,59,0
19708,2009,NON-HISPANIC WHITE,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,458,3
19709,2009,NON-HISPANIC WHITE,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",26,0
19710,2009,NON-HISPANIC WHITE,FEMALE,DIABETES MELLITUS,229,2
19711,2009,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,6297,46
19712,2009,NON-HISPANIC WHITE,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,215,2
19713,2009,NON-HISPANIC WHITE,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,22,0
19714,2009,NON-HISPANIC WHITE,FEMALE,INFLUENZA AND PNEUMONIA,629,5
19715,2009,NON-HISPANIC WHITE,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),58,0
19716,2009,NON-HISPANIC WHITE,FEMALE,MALIGNANT NEOPLASMS,3346,24
19717,2009,NON-HISPANIC WHITE,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,22,0
19718,2009,NON-HISPANIC WHITE,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",70,1
19719,2009,NON-HISPANIC WHITE,FEMALE,PARKINSONS DISEASE,34,0
19720,2009,NON-HISPANIC WHITE,FEMALE,PEPTIC ULCER,14,0
19721,2009,NON-HISPANIC WHITE,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,76,1
19722,2009,NON-HISPANIC WHITE,FEMALE,SEPTICEMIA,62,0
19723,2009,NON-HISPANIC WHITE,FEMALE,SHORT GESTATION/LBW,13,0
19724,2009,NON-HISPANIC WHITE,FEMALE,VIRAL HEPATITIS,35,0
19725,2009,NON-HISPANIC WHITE,MALE,ACCIDENTS EXCEPT DRUG POISONING,281,2
19726,2009,NON-HISPANIC WHITE,MALE,ALZHEIMERS DISEASE,96,1
19727,2009,NON-HISPANIC WHITE,MALE,AORTIC ANEURYSM AND DISSECTION,42,0
19728,2009,NON-HISPANIC WHITE,MALE,ASSAULT (HOMICIDE),38,0
19729,2009,NON-HISPANIC WHITE,MALE,ATHEROSCLEROSIS,68,1
19730,2009,NON-HISPANIC WHITE,MALE,BENIGN AND UNCERTAIN NEOPLASMS,81,1
19731,2009,NON-HISPANIC WHITE,MALE,CEREBROVASCULAR DISEASE,227,2
19732,2009,NON-HISPANIC WHITE,MALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,17,0
19733,2009,NON-HISPANIC WHITE,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,139,1
19734,2009,NON-HISPANIC WHITE,MALE,CHRONIC LOWER RESPIRATORY DISEASES,371,3
19735,2009,NON-HISPANIC WHITE,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",49,0
19736,2009,NON-HISPANIC WHITE,MALE,DIABETES MELLITUS,290,2
19737,2009,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5168,41
19738,2009,NON-HISPANIC WHITE,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,148,1
19739,2009,NON-HISPANIC WHITE,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,68,1
19740,2009,NON-HISPANIC WHITE,MALE,INFLUENZA AND PNEUMONIA,555,4
19741,2009,NON-HISPANIC WHITE,MALE,INTENTIONAL SELF-HARM (SUICIDE),191,2
19742,2009,NON-HISPANIC WHITE,MALE,MALIGNANT NEOPLASMS,3237,26
19743,2009,NON-HISPANIC WHITE,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,64,1
19744,2009,NON-HISPANIC WHITE,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",75,1
19745,2009,NON-HISPANIC WHITE,MALE,PARKINSONS DISEASE,80,1
19746,2009,NON-HISPANIC WHITE,MALE,PEPTIC ULCER,33,0
19747,2009,NON-HISPANIC WHITE,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,221,2
19748,2009,NON-HISPANIC WHITE,MALE,SEPTICEMIA,46,0
19749,2009,NON-HISPANIC WHITE,MALE,VIRAL HEPATITIS,90,1
19750,2010,ASIAN & PACIFIC ISLANDER,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,26,2
19751,2010,ASIAN & PACIFIC ISLANDER,FEMALE,ALZHEIMERS DISEASE,14,1
19752,2010,ASIAN & PACIFIC ISLANDER,FEMALE,ASSAULT (HOMICIDE),7,1
19753,2010,ASIAN & PACIFIC ISLANDER,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,9,1
19754,2010,ASIAN & PACIFIC ISLANDER,FEMALE,CEREBROVASCULAR DISEASE,89,6
19755,2010,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,10,1
19756,2010,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,28,2
19757,2010,ASIAN & PACIFIC ISLANDER,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",7,1
19758,2010,ASIAN & PACIFIC ISLANDER,FEMALE,DIABETES MELLITUS,51,4
19759,2010,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,394,29
19760,2010,ASIAN & PACIFIC ISLANDER,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,33,2
19761,2010,ASIAN & PACIFIC ISLANDER,FEMALE,INFLUENZA AND PNEUMONIA,74,5
19762,2010,ASIAN & PACIFIC ISLANDER,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),17,1
19763,2010,ASIAN & PACIFIC ISLANDER,FEMALE,MALIGNANT NEOPLASMS,416,30
19764,2010,ASIAN & PACIFIC ISLANDER,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",15,1
19765,2010,ASIAN & PACIFIC ISLANDER,FEMALE,SEPTICEMIA,7,1
19766,2010,ASIAN & PACIFIC ISLANDER,FEMALE,VIRAL HEPATITIS,5,0
19767,2010,ASIAN & PACIFIC ISLANDER,MALE,ACCIDENTS EXCEPT DRUG POISONING,55,3
19768,2010,ASIAN & PACIFIC ISLANDER,MALE,ALZHEIMERS DISEASE,9,1
19769,2010,ASIAN & PACIFIC ISLANDER,MALE,ANEMIAS,5,0
19770,2010,ASIAN & PACIFIC ISLANDER,MALE,AORTIC ANEURYSM AND DISSECTION,5,0
19771,2010,ASIAN & PACIFIC ISLANDER,MALE,ASSAULT (HOMICIDE),9,1
19772,2010,ASIAN & PACIFIC ISLANDER,MALE,ATHEROSCLEROSIS,6,0
19773,2010,ASIAN & PACIFIC ISLANDER,MALE,BENIGN AND UNCERTAIN NEOPLASMS,7,0
19774,2010,ASIAN & PACIFIC ISLANDER,MALE,CEREBROVASCULAR DISEASE,83,5
19775,2010,ASIAN & PACIFIC ISLANDER,MALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,6,0
19776,2010,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,18,1
19777,2010,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LOWER RESPIRATORY DISEASES,61,3
19778,2010,ASIAN & PACIFIC ISLANDER,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",9,1
19779,2010,ASIAN & PACIFIC ISLANDER,MALE,DIABETES MELLITUS,64,4
19780,2010,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,479,27
19781,2010,ASIAN & PACIFIC ISLANDER,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,30,2
19782,2010,ASIAN & PACIFIC ISLANDER,MALE,INFLUENZA AND PNEUMONIA,108,6
19783,2010,ASIAN & PACIFIC ISLANDER,MALE,INTENTIONAL SELF-HARM (SUICIDE),46,3
19784,2010,ASIAN & PACIFIC ISLANDER,MALE,MALIGNANT NEOPLASMS,527,30
19785,2010,ASIAN & PACIFIC ISLANDER,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,9,1
19786,2010,ASIAN & PACIFIC ISLANDER,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",11,1
19787,2010,ASIAN & PACIFIC ISLANDER,MALE,PARKINSONS DISEASE,7,0
19788,2010,ASIAN & PACIFIC ISLANDER,MALE,SEPTICEMIA,11,1
19789,2010,ASIAN & PACIFIC ISLANDER,MALE,SHORT GESTATION/LBW,7,0
19790,2010,ASIAN & PACIFIC ISLANDER,MALE,TUBERCULOSIS,5,0
19791,2010,ASIAN & PACIFIC ISLANDER,MALE,VIRAL HEPATITIS,14,1
19792,2010,HISPANIC,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,59,1
19793,2010,HISPANIC,FEMALE,ALZHEIMERS DISEASE,71,2
19794,2010,HISPANIC,FEMALE,ASSAULT (HOMICIDE),22,0
19795,2010,HISPANIC,FEMALE,ATHEROSCLEROSIS,15,0
19796,2010,HISPANIC,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,23,1
19797,2010,HISPANIC,FEMALE,CEREBROVASCULAR DISEASE,168,4
19798,2010,HISPANIC,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,10,0
19799,2010,HISPANIC,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,49,1
19800,2010,HISPANIC,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,156,4
19801,2010,HISPANIC,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",42,1
19802,2010,HISPANIC,FEMALE,DIABETES MELLITUS,219,5
19803,2010,HISPANIC,FEMALE,DISEASES OF HEART,1316,30
19804,2010,HISPANIC,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,95,2
19805,2010,HISPANIC,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,79,2
19806,2010,HISPANIC,FEMALE,INFLUENZA AND PNEUMONIA,228,5
19807,2010,HISPANIC,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),27,1
19808,2010,HISPANIC,FEMALE,MALIGNANT NEOPLASMS,1045,24
19809,2010,HISPANIC,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",48,1
19810,2010,HISPANIC,FEMALE,PARKINSONS DISEASE,16,0
19811,2010,HISPANIC,FEMALE,PEPTIC ULCER,9,0
19812,2010,HISPANIC,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",11,0
19813,2010,HISPANIC,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,50,1
19814,2010,HISPANIC,FEMALE,SEPTICEMIA,33,1
19815,2010,HISPANIC,FEMALE,SHORT GESTATION/LBW,19,0
19816,2010,HISPANIC,FEMALE,VIRAL HEPATITIS,40,1
19817,2010,HISPANIC,MALE,ACCIDENTS EXCEPT DRUG POISONING,132,3
19818,2010,HISPANIC,MALE,ALZHEIMERS DISEASE,31,1
19819,2010,HISPANIC,MALE,AORTIC ANEURYSM AND DISSECTION,28,1
19820,2010,HISPANIC,MALE,ASSAULT (HOMICIDE),120,2
19821,2010,HISPANIC,MALE,ATHEROSCLEROSIS,13,0
19822,2010,HISPANIC,MALE,BENIGN AND UNCERTAIN NEOPLASMS,18,0
19823,2010,HISPANIC,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,14,0
19824,2010,HISPANIC,MALE,CEREBROVASCULAR DISEASE,140,3
19825,2010,HISPANIC,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,150,3
19826,2010,HISPANIC,MALE,CHRONIC LOWER RESPIRATORY DISEASES,149,3
19827,2010,HISPANIC,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",38,1
19828,2010,HISPANIC,MALE,DIABETES MELLITUS,187,4
19829,2010,HISPANIC,MALE,DISEASES OF HEART,1355,28
19830,2010,HISPANIC,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,75,2
19831,2010,HISPANIC,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,189,4
19832,2010,HISPANIC,MALE,INFLUENZA AND PNEUMONIA,235,5
19833,2010,HISPANIC,MALE,INTENTIONAL SELF-HARM (SUICIDE),75,2
19834,2010,HISPANIC,MALE,MALIGNANT NEOPLASMS,1057,22
19835,2010,HISPANIC,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,46,1
19836,2010,HISPANIC,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",44,1
19837,2010,HISPANIC,MALE,PARKINSONS DISEASE,18,0
19838,2010,HISPANIC,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,138,3
19839,2010,HISPANIC,MALE,SEPTICEMIA,31,1
19840,2010,HISPANIC,MALE,SHORT GESTATION/LBW,21,0
19841,2010,HISPANIC,MALE,VIRAL HEPATITIS,88,2
19842,2010,NON-HISPANIC BLACK,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,58,1
19843,2010,NON-HISPANIC BLACK,FEMALE,ALZHEIMERS DISEASE,88,1
19844,2010,NON-HISPANIC BLACK,FEMALE,ANEMIAS,19,0
19845,2010,NON-HISPANIC BLACK,FEMALE,AORTIC ANEURYSM AND DISSECTION,16,0
19846,2010,NON-HISPANIC BLACK,FEMALE,ASSAULT (HOMICIDE),47,1
19847,2010,NON-HISPANIC BLACK,FEMALE,ATHEROSCLEROSIS,23,0
19848,2010,NON-HISPANIC BLACK,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,26,0
19849,2010,NON-HISPANIC BLACK,FEMALE,CEREBROVASCULAR DISEASE,259,4
19850,2010,NON-HISPANIC BLACK,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,43,1
19851,2010,NON-HISPANIC BLACK,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,206,3
19852,2010,NON-HISPANIC BLACK,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",33,0
19853,2010,NON-HISPANIC BLACK,FEMALE,DIABETES MELLITUS,384,5
19854,2010,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2282,32
19855,2010,NON-HISPANIC BLACK,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,252,4
19856,2010,NON-HISPANIC BLACK,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,152,2
19857,2010,NON-HISPANIC BLACK,FEMALE,INFLUENZA AND PNEUMONIA,275,4
19858,2010,NON-HISPANIC BLACK,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),19,0
19859,2010,NON-HISPANIC BLACK,FEMALE,MALIGNANT NEOPLASMS,1768,25
19860,2010,NON-HISPANIC BLACK,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",86,1
19861,2010,NON-HISPANIC BLACK,FEMALE,PEPTIC ULCER,15,0
19862,2010,NON-HISPANIC BLACK,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",18,0
19863,2010,NON-HISPANIC BLACK,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,63,1
19864,2010,NON-HISPANIC BLACK,FEMALE,SEPTICEMIA,55,1
19865,2010,NON-HISPANIC BLACK,FEMALE,SHORT GESTATION/LBW,29,0
19866,2010,NON-HISPANIC BLACK,FEMALE,VIRAL HEPATITIS,33,0
19867,2010,NON-HISPANIC BLACK,MALE,ACCIDENTS EXCEPT DRUG POISONING,147,2
19868,2010,NON-HISPANIC BLACK,MALE,ALZHEIMERS DISEASE,20,0
19869,2010,NON-HISPANIC BLACK,MALE,ANEMIAS,20,0
19870,2010,NON-HISPANIC BLACK,MALE,AORTIC ANEURYSM AND DISSECTION,25,0
19871,2010,NON-HISPANIC BLACK,MALE,ASSAULT (HOMICIDE),301,5
19872,2010,NON-HISPANIC BLACK,MALE,ATHEROSCLEROSIS,20,0
19873,2010,NON-HISPANIC BLACK,MALE,BENIGN AND UNCERTAIN NEOPLASMS,19,0
19874,2010,NON-HISPANIC BLACK,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,15,0
19875,2010,NON-HISPANIC BLACK,MALE,CEREBROVASCULAR DISEASE,171,3
19876,2010,NON-HISPANIC BLACK,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,68,1
19877,2010,NON-HISPANIC BLACK,MALE,CHRONIC LOWER RESPIRATORY DISEASES,202,3
19878,2010,NON-HISPANIC BLACK,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",34,1
19879,2010,NON-HISPANIC BLACK,MALE,DIABETES MELLITUS,279,4
19880,2010,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2015,31
19881,2010,NON-HISPANIC BLACK,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,178,3
19882,2010,NON-HISPANIC BLACK,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,297,5
19883,2010,NON-HISPANIC BLACK,MALE,INFLUENZA AND PNEUMONIA,201,3
19884,2010,NON-HISPANIC BLACK,MALE,INTENTIONAL SELF-HARM (SUICIDE),64,1
19885,2010,NON-HISPANIC BLACK,MALE,MALIGNANT NEOPLASMS,1540,23
19886,2010,NON-HISPANIC BLACK,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,50,1
19887,2010,NON-HISPANIC BLACK,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",70,1
19888,2010,NON-HISPANIC BLACK,MALE,PEPTIC ULCER,13,0
19889,2010,NON-HISPANIC BLACK,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,111,2
19890,2010,NON-HISPANIC BLACK,MALE,SEPTICEMIA,36,1
19891,2010,NON-HISPANIC BLACK,MALE,SHORT GESTATION/LBW,35,1
19892,2010,NON-HISPANIC BLACK,MALE,VIRAL HEPATITIS,49,1
19893,2010,NON-HISPANIC WHITE,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,164,1
19894,2010,NON-HISPANIC WHITE,FEMALE,ALZHEIMERS DISEASE,247,2
19895,2010,NON-HISPANIC WHITE,FEMALE,AORTIC ANEURYSM AND DISSECTION,22,0
19896,2010,NON-HISPANIC WHITE,FEMALE,ATHEROSCLEROSIS,74,1
19897,2010,NON-HISPANIC WHITE,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,69,1
19898,2010,NON-HISPANIC WHITE,FEMALE,CEREBROVASCULAR DISEASE,382,3
19899,2010,NON-HISPANIC WHITE,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,19,0
19900,2010,NON-HISPANIC WHITE,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,67,0
19901,2010,NON-HISPANIC WHITE,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,502,4
